date,function,slots_needed,trainee_slot
2026-08-01,OnCall,1,0
2026-08-02,OnCall,1,0
2026-08-03,Suite1,1,1
2026-08-03,Suite2,1,0
2026-08-03,Outpatient,1,0
2026-08-03,Ward,1,1
2026-08-03,Hepatology,1,0
2026-08-03,OnCall,1,0
2026-08-04,Suite1,1,1
2026-08-04,Suite2,1,0
2026-08-04,Outpatient,1,0
2026-08-04,Ward,1,1
2026-08-04,Hepatology,1,0
2026-08-04,Suite3,1,0
2026-08-04,OnCall,1,0
2026-08-05,Suite1,1,1
2026-08-05,Suite2,1,0
2026-08-05,Outpatient,1,0
2026-08-05,Ward,1,1
2026-08-05,Hepatology,1,0
2026-08-05,OnCall,1,0
2026-08-06,Suite1,1,1
2026-08-06,Suite2,1,0
2026-08-06,Outpatient,1,0
2026-08-06,Ward,1,1
2026-08-06,Hepatology,1,0
2026-08-06,Suite3,1,0
2026-08-06,OnCall,1,0
2026-08-07,Suite1,1,1
2026-08-07,Suite2,1,0
2026-08-07,Outpatient,1,0
2026-08-07,Ward,1,1
2026-08-07,Hepatology,1,0
2026-08-07,OnCall,1,0
2026-08-08,OnCall,1,0
2026-08-09,OnCall,1,0
2026-08-10,Suite1,1,1
2026-08-10,Suite2,1,0
2026-08-10,Outpatient,1,0
2026-08-10,Ward,1,1
2026-08-10,Hepatology,1,0
2026-08-10,OnCall,1,0
2026-08-11,Suite1,1,1
2026-08-11,Suite2,1,0
2026-08-11,Outpatient,1,0
2026-08-11,Ward,1,1
2026-08-11,Hepatology,1,0
2026-08-11,Suite3,1,0
2026-08-11,OnCall,1,0
2026-08-12,Suite1,1,1
2026-08-12,Suite2,1,0
2026-08-12,Outpatient,1,0
2026-08-12,Ward,1,1
2026-08-12,Hepatology,1,0
2026-08-12,OnCall,1,0
2026-08-13,Suite1,1,1
2026-08-13,Suite2,1,0
2026-08-13,Outpatient,1,0
2026-08-13,Ward,1,1
2026-08-13,Hepatology,1,0
2026-08-13,Suite3,1,0
2026-08-13,OnCall,1,0
2026-08-14,Suite1,1,1
2026-08-14,Suite2,1,0
2026-08-14,Outpatient,1,0
2026-08-14,Ward,1,1
2026-08-14,Hepatology,1,0
2026-08-14,OnCall,1,0
2026-08-15,OnCall,1,0
2026-08-16,OnCall,1,0
2026-08-17,Suite1,1,1
2026-08-17,Suite2,1,0
2026-08-17,Outpatient,1,0
2026-08-17,Ward,1,1
2026-08-17,Hepatology,1,0
2026-08-17,OnCall,1,0
2026-08-18,Suite1,1,1
2026-08-18,Suite2,1,0
2026-08-18,Outpatient,1,0
2026-08-18,Ward,1,1
2026-08-18,Hepatology,1,0
2026-08-18,Suite3,1,0
2026-08-18,OnCall,1,0
2026-08-19,Suite1,1,1
2026-08-19,Suite2,1,0
2026-08-19,Outpatient,1,0
2026-08-19,Ward,1,1
2026-08-19,Hepatology,1,0
2026-08-19,OnCall,1,0
2026-08-20,Suite1,1,1
2026-08-20,Suite2,1,0
2026-08-20,Outpatient,1,0
2026-08-20,Ward,1,1
2026-08-20,Hepatology,1,0
2026-08-20,Suite3,1,0
2026-08-20,OnCall,1,0
2026-08-21,Suite1,1,1
2026-08-21,Suite2,1,0
2026-08-21,Outpatient,1,0
2026-08-21,Ward,1,1
2026-08-21,Hepatology,1,0
2026-08-21,OnCall,1,0
2026-08-22,OnCall,1,0
2026-08-23,OnCall,1,0
2026-08-24,Suite1,1,1
2026-08-24,Suite2,1,0
2026-08-24,Outpatient,1,0
2026-08-24,Ward,1,1
2026-08-24,Hepatology,1,0
2026-08-24,OnCall,1,0
2026-08-25,Suite1,1,1
2026-08-25,Suite2,1,0
2026-08-25,Outpatient,1,0
2026-08-25,Ward,1,1
2026-08-25,Hepatology,1,0
2026-08-25,Suite3,1,0
2026-08-25,OnCall,1,0
2026-08-26,Suite1,1,1
2026-08-26,Suite2,1,0
2026-08-26,Outpatient,1,0
2026-08-26,Ward,1,1
2026-08-26,Hepatology,1,0
2026-08-26,OnCall,1,0
2026-08-27,Suite1,1,1
2026-08-27,Suite2,1,0
2026-08-27,Outpatient,1,0
2026-08-27,Ward,1,1
2026-08-27,Hepatology,1,0
2026-08-27,Suite3,1,0
2026-08-27,OnCall,1,0
2026-08-28,Suite1,1,1
2026-08-28,Suite2,1,0
2026-08-28,Outpatient,1,0
2026-08-28,Ward,1,1
2026-08-28,Hepatology,1,0
2026-08-28,OnCall,1,0
2026-08-29,OnCall,1,0
2026-08-30,OnCall,1,0
2026-08-31,Suite1,1,1
2026-08-31,Suite2,1,0
2026-08-31,Outpatient,1,0
2026-08-31,Ward,1,1
2026-08-31,Hepatology,1,0
2026-08-31,OnCall,1,0
